Year,Month,Day,Weekday,Hour_0,VehicleType,counts
2023,9,29,Friday,15,42,3
2023,9,29,Friday,16,5,5
2023,9,29,Friday,16,31,266
2023,9,29,Friday,16,32,53
2023,9,29,Friday,16,41,4
2023,9,29,Friday,16,42,7
2023,9,29,Friday,17,5,3
2023,9,29,Friday,17,31,233
2023,9,29,Friday,17,32,48
2023,9,29,Friday,17,42,6
2023,9,29,Friday,18,5,12
2023,9,29,Friday,18,31,152
2023,9,29,Friday,18,32,40
2023,9,29,Friday,18,41,1
2023,9,29,Friday,18,42,3
2023,9,29,Friday,19,5,6
2023,9,29,Friday,19,31,130
2023,9,29,Friday,19,32,21
2023,9,29,Friday,19,41,1
2023,9,29,Friday,19,42,4
2023,9,29,Friday,20,5,4
2023,9,29,Friday,20,31,151
2023,9,29,Friday,20,32,24
2023,9,29,Friday,20,42,11
2023,9,29,Friday,21,5,1
2023,9,29,Friday,21,31,137
2023,9,29,Friday,21,32,20
2023,9,29,Friday,21,41,1
2023,9,29,Friday,21,42,3
2023,9,29,Friday,22,5,7
2023,9,29,Friday,22,31,107
2023,9,29,Friday,22,32,20
2023,9,29,Friday,22,42,4
2023,9,29,Friday,23,5,6
2023,9,29,Friday,23,31,70
2023,9,29,Friday,23,32,8
2023,9,29,Friday,23,42,5
2023,9,30,Saturday,0,5,9
2023,9,30,Saturday,0,31,48
2023,9,30,Saturday,0,32,5
2023,9,30,Saturday,0,42,5
2023,9,30,Saturday,1,5,8
2023,9,30,Saturday,1,31,34
2023,9,30,Saturday,1,32,4
2023,9,30,Saturday,1,41,1
2023,9,30,Saturday,1,42,4
2023,9,30,Saturday,2,5,16
2023,9,30,Saturday,2,31,7
2023,9,30,Saturday,2,32,3
2023,9,30,Saturday,2,41,1
2023,9,30,Saturday,2,42,3
2023,9,30,Saturday,3,5,22
2023,9,30,Saturday,3,31,14
2023,9,30,Saturday,3,32,1
2023,9,30,Saturday,3,42,4
2023,9,30,Saturday,4,5,19
2023,9,30,Saturday,4,31,27
2023,9,30,Saturday,4,32,11
2023,9,30,Saturday,4,41,4
2023,9,30,Saturday,4,42,5
2023,9,30,Saturday,5,5,20
2023,9,30,Saturday,5,31,33
2023,9,30,Saturday,5,32,10
2023,9,30,Saturday,5,41,4
2023,9,30,Saturday,5,42,2
2023,9,30,Saturday,6,5,23
2023,9,30,Saturday,6,31,56
2023,9,30,Saturday,6,32,32
2023,9,30,Saturday,6,41,4
2023,9,30,Saturday,6,42,5
2023,9,30,Saturday,7,5,32
2023,9,30,Saturday,7,31,90
2023,9,30,Saturday,7,32,29
2023,9,30,Saturday,7,41,2
2023,9,30,Saturday,7,42,6
2023,9,30,Saturday,8,5,32
2023,9,30,Saturday,8,31,143
2023,9,30,Saturday,8,32,37
2023,9,30,Saturday,8,41,3
2023,9,30,Saturday,8,42,4
2023,9,30,Saturday,9,5,24
2023,9,30,Saturday,9,31,166
2023,9,30,Saturday,9,32,38
2023,9,30,Saturday,9,42,8
2023,9,30,Saturday,10,5,19
2023,9,30,Saturday,10,31,222
2023,9,30,Saturday,10,32,56
2023,9,30,Saturday,10,41,4
2023,9,30,Saturday,10,42,7
2023,9,30,Saturday,11,5,7
2023,9,30,Saturday,11,31,356
2023,9,30,Saturday,11,32,85
2023,9,30,Saturday,11,41,1
2023,9,30,Saturday,11,42,10
2023,9,30,Saturday,12,5,6
2023,9,30,Saturday,12,31,270
2023,9,30,Saturday,12,32,68
2023,9,30,Saturday,12,41,3
2023,9,30,Saturday,12,42,3
2023,9,30,Saturday,13,31,233
2023,9,30,Saturday,13,32,49
2023,9,30,Saturday,13,41,5
2023,9,30,Saturday,13,42,4
2023,9,30,Saturday,14,5,9
2023,9,30,Saturday,14,31,166
2023,9,30,Saturday,14,32,45
2023,9,30,Saturday,14,41,6
